name,state,date_start,date_end,project_id,department_id,structure_id,hrbp_user_id,approval_type_id,payslip_publish_option,division_department_id,company_department_id,project_policy_id,year_of_tax_finalization,income_type,payslip_month,payslip_year
Bảng lương tháng 01/2022 DC 1,approved,2022-01-01,2022-01-31,740,126.0,53.0,197.0,,manual,13.0,,,,monthly_salary,1,2022
Bảng lương tháng 01/2022 MAERSK DC 2,approved,2022-01-01,2022-01-31,741,126.0,54.0,197.0,,manual,13.0,,,,monthly_salary,1,2022
Bảng lương tháng 01/2022 MAERSK DC 3,approved,2022-01-01,2022-01-31,1971,126.0,55.0,197.0,,manual,13.0,,,,monthly_salary,1,2022
Bảng lương tháng 01/2022 DC 1.1,approved,2022-01-01,2022-01-31,2280,126.0,265.0,9311.0,,manual,13.0,,,,monthly_salary,1,2022
TUV - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,692,125.0,7.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
02.2022 - CompAsia VN,approved,2022-01-26,2022-02-25,2263,103.0,202.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
ITOCHU POWER - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,734,125.0,48.0,195.0,,manual,14.0,,,,monthly_salary,2,2022
ITOCHU VP - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,681,125.0,49.0,195.0,,manual,14.0,,,,monthly_salary,2,2022
VOLCAFE - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-21,2022-02-20,760,125.0,45.0,195.0,,manual,14.0,,,,monthly_salary,2,2022
GREIF - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,2225,125.0,43.0,243.0,,manual,14.0,,,,monthly_salary,2,2022
TOPSOLVENT HP - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-21,2022-02-20,752,126.0,5.0,243.0,,manual,13.0,,,,monthly_salary,2,2022
02.2022 - SAPPORO VN,approved,2022-02-01,2022-02-28,787,103.0,263.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
06.2022-VOLCAFE-PAYROLL,approved,2022-05-21,2022-06-20,760,125.0,45.0,195.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022-ITOCHU VP-PAYROLL,approved,2022-06-01,2022-06-30,681,125.0,49.0,195.0,,manual,14.0,,,,monthly_salary,6,2022
TOPSOLVENT GD - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-21,2022-02-20,697,126.0,6.0,243.0,,manual,13.0,,,,monthly_salary,2,2022
BANG LUONG MAERSK DC1_02 2022,approved,2022-01-26,2022-02-25,740,126.0,53.0,197.0,,manual,13.0,,,,monthly_salary,2,2022
RHI HAI DUONG. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,755,126.0,193.0,8455.0,,manual,13.0,,,,monthly_salary,2,2022
06.2022-ITOCHU POWER-PAYROLL,approved,2022-06-01,2022-06-30,734,125.0,48.0,195.0,,manual,14.0,,,,monthly_salary,6,2022
PPG YUNGCHI - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,676,125.0,260.0,195.0,,manual,14.0,,,,monthly_salary,2,2022
06.2022-PPG YUNG CHI-PAYROLL,approved,2022-06-01,2022-06-30,676,125.0,260.0,195.0,,manual,14.0,,,,monthly_salary,6,2022
SONION HCM. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,685,125.0,255.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
Schenker. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,1831,125.0,251.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
02.2022 - YAMAHA,approved,2022-02-01,2022-02-28,2202,108.0,264.0,229.0,,manual,20.0,,,,monthly_salary,2,2022
02.2022 - FCV NA ADMIN,approved,2022-02-01,2022-02-28,783,103.0,198.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
02.2022 - FCV NA CL,approved,2022-02-01,2022-02-28,784,103.0,199.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
RHI HA TINH. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,2149,126.0,192.0,195.0,,manual,13.0,,,,monthly_salary,2,2022
RHI HUNG YEN. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,1962,126.0,194.0,195.0,,manual,13.0,,,,monthly_salary,2,2022
ROSNEFT. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,708,125.0,250.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
THEP NHA BE. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,1976,126.0,196.0,195.0,,manual,13.0,,,,monthly_salary,2,2022
KING JIM. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,722,103.0,258.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
KONGSBERG. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,763,125.0,247.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
DKSH VSIP - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-23,2022-02-22,695,126.0,20.0,9558.0,,manual,13.0,,,,monthly_salary,2,2022
MAERSK DC6.1 - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,742,126.0,14.0,245.0,,manual,13.0,,,,monthly_salary,2,2022
BANG LUONG AKZO POWDER_02 2022,approved,2022-01-26,2022-02-25,703,125.0,41.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
BANG LUONG AKZO NORTH_02 2022,approved,2022-01-26,2022-02-25,735,125.0,38.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
AKZONOBEL DRIVER - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-02-01,2022-02-28,2134,125.0,28.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
BANG LUONG DKSH OFFICE_02 2022,approved,2022-01-23,2022-02-22,2266,126.0,21.0,9558.0,,manual,13.0,,,,monthly_salary,2,2022
FujiFilm. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,1963,125.0,235.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
SCHENKER NORTH. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,2241,125.0,253.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
MAERSK DC3 - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-21,2022-02-20,1971,126.0,55.0,197.0,,manual,13.0,,,,monthly_salary,2,2022
FujiFilm CTV. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,736,125.0,236.0,229.0,,manual,14.0,,,,monthly_salary,2,2022
Schenker Logistics North. bang luong thang 02.2022,approved,2022-02-01,2022-02-28,2286,103.0,266.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
Synagie_Payroll 02.2022,approved,2022-02-01,2022-02-28,2273,97.0,234.0,222.0,,manual,13.0,,,,monthly_salary,2,2022
Synagie_Bảng lương 01.2022,approved,2022-01-01,2022-01-31,2273,97.0,234.0,222.0,,manual,13.0,,,,monthly_salary,1,2022
BP Production_Bảng lương 02.2022 (add),approved,2022-02-01,2022-02-28,765,97.0,268.0,535.0,,manual,13.0,,,,monthly_salary,2,2022
UIP NSX_Bảng lương 01.2022,approved,2022-01-01,2022-01-31,769,97.0,267.0,535.0,,manual,13.0,,,,monthly_salary,1,2022
Bảng lương Tháng 02_GSK CAT LAI,approved,2022-02-01,2022-02-28,2262,97.0,223.0,9141.0,,manual,13.0,,,,monthly_salary,2,2022
Bảng lương tháng 02/2022_GSK VSIP,approved,2022-02-01,2022-02-28,2245,97.0,224.0,9141.0,,manual,13.0,,,,monthly_salary,2,2022
BANG LUONG COLGATE_02 2022,approved,2022-02-01,2022-02-28,713,125.0,10.0,195.0,,manual,14.0,,,,monthly_salary,2,2022
UNILEVER 02.2022,approved,2022-01-01,2022-01-31,780,97.0,231.0,535.0,,manual,13.0,,,,monthly_salary,1,2022
UNILEVER 01.2022,approved,2022-02-01,2022-02-28,780,97.0,231.0,535.0,,manual,13.0,,,,monthly_salary,2,2022
Shell_Bảng lương 02.2022 add,approved,2022-01-24,2022-02-23,764,97.0,229.0,535.0,,manual,13.0,,,,monthly_salary,2,2022
05.2022 - SHISEIDO,approved,2022-05-01,2022-05-31,761,125.0,257.0,229.0,,manual,14.0,,,,monthly_salary,5,2022
03.2022 - CompAsia VN,approved,2022-02-26,2022-03-25,2263,103.0,202.0,275.0,,manual,14.0,,,,monthly_salary,3,2022
03.2022 - FCV ARAS,approved,2022-02-25,2022-03-24,814,103.0,203.0,275.0,,manual,14.0,,,,monthly_salary,3,2022
06.2022 - BRENNTAG,approved,2022-06-01,2022-06-30,728,125.0,237.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
ACV Hưng Yên_Bảng lương 03.2022,approved,2022-03-01,2022-03-31,2154,97.0,215.0,535.0,,manual,13.0,,,,monthly_salary,3,2022
P&G Bến Cát_Test,approved,2022-03-01,2022-03-31,750,97.0,227.0,222.0,,manual,13.0,,,2022.0,monthly_salary,3,2022
03.2022 - FCV NA ADMIN,approved,2022-03-01,2022-03-31,783,103.0,198.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
03.2022 - FCV NA CL,approved,2022-03-01,2022-03-31,784,103.0,199.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
TOPSOLVENT HAI PHONG - BANG LUONG 06.2022,approved,2022-05-21,2022-06-20,752,126.0,5.0,243.0,,manual,13.0,,,,monthly_salary,6,2022
SYNAGIE_Bảng lương 03.2022,approved,2022-03-01,2022-03-31,2273,97.0,234.0,222.0,,manual,13.0,,,,monthly_salary,3,2022
UNILEVER_Bảng lương 03.2022,approved,2022-03-01,2022-03-31,780,97.0,231.0,535.0,,manual,13.0,,,,monthly_salary,3,2022
Unilever_Bảng lương 03.2022 (1.2),approved,2022-03-01,2022-03-31,780,97.0,231.0,535.0,,manual,13.0,,,,monthly_salary,3,2022
MANULIFE IT. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,2151,125.0,209.0,195.0,,manual,14.0,,,,monthly_salary,3,2022
ARITCO. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,759,125.0,241.0,275.0,,manual,14.0,,,,monthly_salary,3,2022
BP OFFICE. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,682,125.0,242.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
BSI. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,727,125.0,245.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
DKSH VN - BANG LUONG THANG 06.2022,approved,2022-05-23,2022-06-22,694,126.0,22.0,243.0,,manual,13.0,,,,monthly_salary,6,2022
DKSH HECA 02.2023,approved,2023-02-01,2023-02-28,696,126.0,23.0,243.0,7.0,manual,13.0,11.0,1084.0,2023.0,monthly_salary,2,2023
06/2022 - BROTHER,approved,2022-06-01,2022-06-30,732,125.0,3.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - Fuji Film,approved,2022-06-01,2022-06-30,1963,125.0,235.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
FujiFilm. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,1963,125.0,235.0,229.0,,manual,14.0,,,,monthly_salary,3,2022
GREIF. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,2225,125.0,43.0,243.0,,manual,14.0,,,,monthly_salary,3,2022
ITOCHU POWER. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,734,125.0,48.0,195.0,,manual,14.0,,,,monthly_salary,3,2022
KING JIM. Bang luong thang 03.2022,approved,2022-03-01,2022-03-31,722,103.0,258.0,275.0,,manual,14.0,,,,monthly_salary,3,2022
05.2022 - Fuji Film,approved,2022-05-01,2022-05-31,1963,125.0,235.0,229.0,,manual,14.0,,,,monthly_salary,5,2022
Bảng lương dự án SAPHARCO 09/2023,draft,2023-09-01,2023-09-30,749,126.0,238.0,8455.0,7.0,un_pub,13.0,11.0,1131.0,2023.0,monthly_salary,9,2023
BANG LUONG AKZO CS_02 2022,approved,2022-01-26,2022-02-25,701,125.0,34.0,275.0,,manual,14.0,,,,monthly_salary,2,2022
MAERSK BAC NINH - BẢNG LƯƠNG THÁNG 02.2022,approved,2022-01-23,2022-02-22,748,126.0,11.0,245.0,,manual,13.0,,,,monthly_salary,2,2022
BẢNG LƯƠNG ITOCHU POWER THÁNG 01.2022,approved,2022-01-01,2022-01-31,734,125.0,48.0,195.0,,manual,14.0,,,,monthly_salary,1,2022
06.2022 - KONGSBERG,approved,2022-06-01,2022-06-30,763,125.0,247.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - SONION DRIVER,approved,2022-06-01,2022-06-30,1966,125.0,254.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
05.2022 - Fuji Film (CTV),approved,2022-05-01,2022-05-31,736,125.0,236.0,229.0,,manual,14.0,,,,monthly_salary,5,2022
06.2022 - Fuji Film (CTV),approved,2022-06-01,2022-06-30,736,125.0,236.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - SHISEIDO,approved,2022-06-01,2022-06-30,761,125.0,257.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022 - PROMINENT (VNPAL),approved,2022-06-01,2022-06-30,683,125.0,249.0,229.0,,manual,14.0,,,,monthly_salary,6,2022
